tag,eval_attribute,eval_group,metric,CI_quantile_95,comparator,baseline,delta
regularized_auc_min,race_eth,Asian,net_benefit_rr_0.075,lower,0.0045743447715049,0.0068534759801476,-0.003020756044604
regularized_auc_min,race_eth,Asian,net_benefit_rr_0.075,mid,0.0055095907760389,0.007907961316165,-0.0023832893824149
regularized_auc_min,race_eth,Asian,net_benefit_rr_0.075,upper,0.0065796174303104,0.0091091031411018,-0.0019320296349968
regularized_auc_min,race_eth,Asian,net_benefit_rr_0.2,lower,0.0003655148053754,0.0001905254608441,-0.0010024686004709
regularized_auc_min,race_eth,Asian,net_benefit_rr_0.2,mid,0.0007320020478665,0.0010188476242638,-0.0002814601418388
regularized_auc_min,race_eth,Asian,net_benefit_rr_0.2,upper,0.0011476572626881,0.0019407392945155,0.0003830761368518
regularized_auc_min,race_eth,Black or African American,net_benefit_rr_0.075,lower,0.0173826374284211,0.0181947052239483,-0.0011553135420627
regularized_auc_min,race_eth,Black or African American,net_benefit_rr_0.075,mid,0.0180342022416546,0.0188578064452265,-0.0008125725110912
regularized_auc_min,race_eth,Black or African American,net_benefit_rr_0.075,upper,0.0186925348305681,0.0195294249496792,-0.0005045430700886
regularized_auc_min,race_eth,Black or African American,net_benefit_rr_0.2,lower,0.0031000154820203,0.0048733191168933,-0.0026350838539696
regularized_auc_min,race_eth,Black or African American,net_benefit_rr_0.2,mid,0.0035131779093421,0.0056010398332847,-0.0020857062313326
regularized_auc_min,race_eth,Black or African American,net_benefit_rr_0.2,upper,0.0039306784317838,0.0063053712098933,-0.0015291813987126
regularized_auc_min,race_eth,Hispanic or Latino,net_benefit_rr_0.075,lower,0.0094779101804935,0.0106832648229849,-0.0015275617341667
regularized_auc_min,race_eth,Hispanic or Latino,net_benefit_rr_0.075,mid,0.0100811830356262,0.0113442653652008,-0.0012644900323086
regularized_auc_min,race_eth,Hispanic or Latino,net_benefit_rr_0.075,upper,0.0106528193990737,0.0119651879333141,-0.0009785901756864
regularized_auc_min,race_eth,Hispanic or Latino,net_benefit_rr_0.2,lower,0.0011585833102113,0.0011792727732293,-0.0008143645621606
regularized_auc_min,race_eth,Hispanic or Latino,net_benefit_rr_0.2,mid,0.0014548644293151,0.00178814542796,-0.0003357276771962
regularized_auc_min,race_eth,Hispanic or Latino,net_benefit_rr_0.2,upper,0.0017563527092004,0.0024032476579226,0.0001437239201569
regularized_auc_min,race_eth,Other,net_benefit_rr_0.075,lower,0.0116171899628947,0.0129026205775527,-0.0017049171758143
regularized_auc_min,race_eth,Other,net_benefit_rr_0.075,mid,0.012760018596003,0.0141571423470145,-0.0013809995363239
regularized_auc_min,race_eth,Other,net_benefit_rr_0.075,upper,0.0139514849919359,0.015389600311892,-0.001065159809071
regularized_auc_min,race_eth,Other,net_benefit_rr_0.2,lower,0.0009450371085962,0.000817135564517,-0.0013249680510432
regularized_auc_min,race_eth,Other,net_benefit_rr_0.2,mid,0.0017286925080078,0.0022191754182358,-0.0005152272859611
regularized_auc_min,race_eth,Other,net_benefit_rr_0.2,upper,0.0023643264872696,0.0034837447159387,0.0003261262609603
regularized_auc_min,race_eth,White,net_benefit_rr_0.075,lower,0.0117433345709931,0.0131135105523299,-0.0014909666364723
regularized_auc_min,race_eth,White,net_benefit_rr_0.075,mid,0.0119459410568974,0.0133381334492739,-0.0013979013668024
regularized_auc_min,race_eth,White,net_benefit_rr_0.075,upper,0.0121459815396719,0.0135675531791505,-0.0012785049776808
regularized_auc_min,race_eth,White,net_benefit_rr_0.2,lower,0.0023630306903534,0.0039474907951088,-0.0018568300071689
regularized_auc_min,race_eth,White,net_benefit_rr_0.2,mid,0.0025351160516802,0.0041501679623013,-0.0016091685321876
regularized_auc_min,race_eth,White,net_benefit_rr_0.2,upper,0.0026734707288709,0.0043503890047119,-0.0014221840260347
regularized_auc_min,race_eth,overall,net_benefit_rr_0.075,lower,0.011954432731128,0.0133078494837895,-0.0014530717769492
regularized_auc_min,race_eth,overall,net_benefit_rr_0.075,mid,0.0121825082813033,0.0135476113825409,-0.0013688351400935
regularized_auc_min,race_eth,overall,net_benefit_rr_0.075,upper,0.0124109357066349,0.0138032826253706,-0.001268992232778
regularized_auc_min,race_eth,overall,net_benefit_rr_0.075_max,lower,0.0173826374284211,0.0181947052239483,-0.0011553135420627
regularized_auc_min,race_eth,overall,net_benefit_rr_0.075_max,mid,0.0180342022416546,0.0188578064452265,-0.0008125725110912
regularized_auc_min,race_eth,overall,net_benefit_rr_0.075_max,upper,0.0186925348305681,0.0195294249496792,-0.0005045430700886
regularized_auc_min,race_eth,overall,net_benefit_rr_0.075_min,lower,0.0045743447715049,0.0068534759801476,-0.003020756044604
regularized_auc_min,race_eth,overall,net_benefit_rr_0.075_min,mid,0.0055095907760389,0.007907961316165,-0.0023832893824149
regularized_auc_min,race_eth,overall,net_benefit_rr_0.075_min,upper,0.0065796174303104,0.0091091031411018,-0.0019320296349968
regularized_auc_min,race_eth,overall,net_benefit_rr_0.075_var,lower,1.704048928420923e-05,1.2831729466792477e-05,2.7249405381092654e-06
regularized_auc_min,race_eth,overall,net_benefit_rr_0.075_var,mid,2.0655866929402084e-05,1.6185728461484383e-05,4.36372288704331e-06
regularized_auc_min,race_eth,overall,net_benefit_rr_0.075_var,upper,2.4536614409349383e-05,1.9819994918576508e-05,6.764296318358097e-06
regularized_auc_min,race_eth,overall,net_benefit_rr_0.2,lower,0.0021789228549687,0.0034515114134914,-0.0015709380365269
regularized_auc_min,race_eth,overall,net_benefit_rr_0.2,mid,0.0023478075788532,0.0037047670175156,-0.0013528812906879
regularized_auc_min,race_eth,overall,net_benefit_rr_0.2,upper,0.0024970926562918,0.0039314442431285,-0.0011549453490635
regularized_auc_min,race_eth,overall,net_benefit_rr_0.2_max,lower,0.0031000154820203,0.0048733191168933,-0.0026350838539696
regularized_auc_min,race_eth,overall,net_benefit_rr_0.2_max,mid,0.0035131779093421,0.0056010398332847,-0.0020857062313326
regularized_auc_min,race_eth,overall,net_benefit_rr_0.2_max,upper,0.0039306784317838,0.0063053712098933,-0.0015291813987126
regularized_auc_min,race_eth,overall,net_benefit_rr_0.2_min,lower,0.0003646421438679,0.0001724696981319,-0.0008604341145021
regularized_auc_min,race_eth,overall,net_benefit_rr_0.2_min,mid,0.000730283410675,0.0009891211543222,-0.0002507379936713
regularized_auc_min,race_eth,overall,net_benefit_rr_0.2_min,upper,0.0011403680073563,0.0017234628331492,0.0004037743221
regularized_auc_min,race_eth,overall,net_benefit_rr_0.2_var,lower,7.613494853251476e-07,2.349310860092772e-06,-3.865670726164877e-06
regularized_auc_min,race_eth,overall,net_benefit_rr_0.2_var,mid,1.1704420729494875e-06,3.636874089187693e-06,-2.4618900330369237e-06
regularized_auc_min,race_eth,overall,net_benefit_rr_0.2_var,upper,1.6638830233156464e-06,5.287557353996858e-06,-1.3650016682837624e-06
regularized_loss_max,race_eth,Asian,net_benefit_rr_0.075,lower,0.0046191680104278,0.0068534759801476,-0.0029849200244775
regularized_loss_max,race_eth,Asian,net_benefit_rr_0.075,mid,0.0055654134741822,0.007907961316165,-0.0023273360557579
regularized_loss_max,race_eth,Asian,net_benefit_rr_0.075,upper,0.0066379662144199,0.0091091031411018,-0.00185169647274
regularized_loss_max,race_eth,Asian,net_benefit_rr_0.2,lower,-0.0105849224189142,0.0001905254608441,-0.0117398860621034
regularized_loss_max,race_eth,Asian,net_benefit_rr_0.2,mid,-0.0095954441529544,0.0010188476242638,-0.0105691543644258
regularized_loss_max,race_eth,Asian,net_benefit_rr_0.2,upper,-0.0081896136940905,0.0019407392945155,-0.0092906247303283
regularized_loss_max,race_eth,Black or African American,net_benefit_rr_0.075,lower,0.0174288619975716,0.0181947052239483,-0.0011433362401238
regularized_loss_max,race_eth,Black or African American,net_benefit_rr_0.075,mid,0.0180735125090289,0.0188578064452265,-0.0007661791822227
regularized_loss_max,race_eth,Black or African American,net_benefit_rr_0.075,upper,0.0187381573927491,0.0195294249496792,-0.0004713318792837
regularized_loss_max,race_eth,Black or African American,net_benefit_rr_0.2,lower,-0.0025622351028124,0.0048733191168933,-0.0080719021097631
regularized_loss_max,race_eth,Black or African American,net_benefit_rr_0.2,mid,-0.0018690573244695,0.0056010398332847,-0.0075251312061839
regularized_loss_max,race_eth,Black or African American,net_benefit_rr_0.2,upper,-0.0010537818131366,0.0063053712098933,-0.0066098226663487
regularized_loss_max,race_eth,Hispanic or Latino,net_benefit_rr_0.075,lower,0.0095229421559082,0.0106832648229849,-0.001503819446288
regularized_loss_max,race_eth,Hispanic or Latino,net_benefit_rr_0.075,mid,0.0101124949189388,0.0113442653652008,-0.0012310454156141
regularized_loss_max,race_eth,Hispanic or Latino,net_benefit_rr_0.075,upper,0.0106657702035465,0.0119651879333141,-0.0009275413311739
regularized_loss_max,race_eth,Hispanic or Latino,net_benefit_rr_0.2,lower,-0.0081212518183158,0.0011792727732293,-0.009953617957973
regularized_loss_max,race_eth,Hispanic or Latino,net_benefit_rr_0.2,mid,-0.0071890847814117,0.00178814542796,-0.0089343202876757
regularized_loss_max,race_eth,Hispanic or Latino,net_benefit_rr_0.2,upper,-0.0063662386973331,0.0024032476579226,-0.008093298365127
regularized_loss_max,race_eth,Other,net_benefit_rr_0.075,lower,0.0116500117263807,0.0129026205775527,-0.0016576661173588
regularized_loss_max,race_eth,Other,net_benefit_rr_0.075,mid,0.0128089341002255,0.0141571423470145,-0.0013357006140194
regularized_loss_max,race_eth,Other,net_benefit_rr_0.075,upper,0.0139906597477507,0.015389600311892,-0.001013418235647
regularized_loss_max,race_eth,Other,net_benefit_rr_0.2,lower,-0.0071854092353379,0.000817135564517,-0.0089740718100553
regularized_loss_max,race_eth,Other,net_benefit_rr_0.2,mid,-0.0058414124620807,0.0022191754182358,-0.008048417721056
regularized_loss_max,race_eth,Other,net_benefit_rr_0.2,upper,-0.0046724847661506,0.0034837447159387,-0.0072460490558958
regularized_loss_max,race_eth,White,net_benefit_rr_0.075,lower,0.0117813217471497,0.0131135105523299,-0.0014407479997139
regularized_loss_max,race_eth,White,net_benefit_rr_0.075,mid,0.0119975392668001,0.0133381334492739,-0.001345101822753
regularized_loss_max,race_eth,White,net_benefit_rr_0.075,upper,0.0122152188200426,0.0135675531791505,-0.0012263722809324
regularized_loss_max,race_eth,White,net_benefit_rr_0.2,lower,-0.0056102686240484,0.0039474907951088,-0.0097050767308303
regularized_loss_max,race_eth,White,net_benefit_rr_0.2,mid,-0.005016294542105,0.0041501679623013,-0.0092133606368703
regularized_loss_max,race_eth,White,net_benefit_rr_0.2,upper,-0.0044475850987611,0.0043503890047119,-0.0085956374097915
regularized_loss_max,race_eth,overall,net_benefit_rr_0.075,lower,0.0120001957436706,0.0133078494837895,-0.0014082920040001
regularized_loss_max,race_eth,overall,net_benefit_rr_0.075,mid,0.012229723222529,0.0135476113825409,-0.0013209013976304
regularized_loss_max,race_eth,overall,net_benefit_rr_0.075,upper,0.0124638218038816,0.0138032826253706,-0.0012199834356392
regularized_loss_max,race_eth,overall,net_benefit_rr_0.075_max,lower,0.0174288619975716,0.0181947052239483,-0.0011433362401238
regularized_loss_max,race_eth,overall,net_benefit_rr_0.075_max,mid,0.0180735125090289,0.0188578064452265,-0.0007661791822227
regularized_loss_max,race_eth,overall,net_benefit_rr_0.075_max,upper,0.0187381573927491,0.0195294249496792,-0.0004713318792837
regularized_loss_max,race_eth,overall,net_benefit_rr_0.075_min,lower,0.0046191680104278,0.0068534759801476,-0.0029849200244775
regularized_loss_max,race_eth,overall,net_benefit_rr_0.075_min,mid,0.0055654134741822,0.007907961316165,-0.0023273360557579
regularized_loss_max,race_eth,overall,net_benefit_rr_0.075_min,upper,0.0066379662144199,0.0091091031411018,-0.00185169647274
regularized_loss_max,race_eth,overall,net_benefit_rr_0.075_var,lower,1.6964176543681098e-05,1.2831729466792477e-05,2.343394129150651e-06
regularized_loss_max,race_eth,overall,net_benefit_rr_0.075_var,mid,2.0632033775177325e-05,1.6185728461484383e-05,4.382163377883465e-06
regularized_loss_max,race_eth,overall,net_benefit_rr_0.075_var,upper,2.459278262787247e-05,1.9819994918576508e-05,6.782443706464339e-06
regularized_loss_max,race_eth,overall,net_benefit_rr_0.2,lower,-0.0058296849135688,0.0034515114134914,-0.0094600395218028
regularized_loss_max,race_eth,overall,net_benefit_rr_0.2,mid,-0.0051751039698705,0.0037047670175156,-0.0088882719694895
regularized_loss_max,race_eth,overall,net_benefit_rr_0.2,upper,-0.0046292285588565,0.0039314442431285,-0.0083417832045278
regularized_loss_max,race_eth,overall,net_benefit_rr_0.2_max,lower,-0.0025622351028124,0.0048733191168933,-0.0080719021097631
regularized_loss_max,race_eth,overall,net_benefit_rr_0.2_max,mid,-0.0018690573244695,0.0056010398332847,-0.0075251312061839
regularized_loss_max,race_eth,overall,net_benefit_rr_0.2_max,upper,-0.0010537818131366,0.0063053712098933,-0.0066098226663487
regularized_loss_max,race_eth,overall,net_benefit_rr_0.2_min,lower,-0.0105849224189142,0.0001724696981319,-0.0116735158552235
regularized_loss_max,race_eth,overall,net_benefit_rr_0.2_min,mid,-0.0095954441529544,0.0009891211543222,-0.010526328421529
regularized_loss_max,race_eth,overall,net_benefit_rr_0.2_min,upper,-0.0081896136940905,0.0017234628331492,-0.0092551636639089
regularized_loss_max,race_eth,overall,net_benefit_rr_0.2_var,lower,6.081701231613863e-06,2.349310860092772e-06,2.670778145273976e-06
regularized_loss_max,race_eth,overall,net_benefit_rr_0.2_var,mid,8.196251968844793e-06,3.636874089187693e-06,4.531721615068094e-06
regularized_loss_max,race_eth,overall,net_benefit_rr_0.2_var,upper,1.0393803231950376e-05,5.287557353996858e-06,6.2050104875659615e-06
dro_auc_min,gender_concept_name,FEMALE,net_benefit_rr_0.075,lower,0.0120598411706646,0.0120498413291322,-0.00014572049264
dro_auc_min,gender_concept_name,FEMALE,net_benefit_rr_0.075,mid,0.0123399426253898,0.0123707333520672,-2.687139631322999e-05
dro_auc_min,gender_concept_name,FEMALE,net_benefit_rr_0.075,upper,0.0126325965984639,0.0126804184580321,8.657260420633393e-05
dro_auc_min,gender_concept_name,FEMALE,net_benefit_rr_0.2,lower,0.0032321080487488,0.0029578584743433,5.618656064357644e-05
dro_auc_min,gender_concept_name,FEMALE,net_benefit_rr_0.2,mid,0.0034552981331402,0.0032178486600039,0.0002310053239715
dro_auc_min,gender_concept_name,FEMALE,net_benefit_rr_0.2,upper,0.0036769766797601,0.0035106960730171,0.0004211081615593
dro_auc_min,gender_concept_name,MALE,net_benefit_rr_0.075,lower,0.0147086244898721,0.0146713203374786,-0.0001472285212009
dro_auc_min,gender_concept_name,MALE,net_benefit_rr_0.075,mid,0.0151387428131967,0.0151200274088488,2.6306119460237087e-05
dro_auc_min,gender_concept_name,MALE,net_benefit_rr_0.075,upper,0.015556717856018,0.0155432199592465,0.0001676912031213
dro_auc_min,gender_concept_name,MALE,net_benefit_rr_0.2,lower,0.0039173557581817,0.0038752347410764,-0.0002160231757691
dro_auc_min,gender_concept_name,MALE,net_benefit_rr_0.2,mid,0.0043468763176338,0.0043621172879004,-2.140610268520915e-05
dro_auc_min,gender_concept_name,MALE,net_benefit_rr_0.2,upper,0.0047108296369121,0.0047998685146753,0.0001796944445078
dro_auc_min,gender_concept_name,overall,net_benefit_rr_0.075,lower,0.0132972239543664,0.0132901455415175,-0.0001121271637499
dro_auc_min,gender_concept_name,overall,net_benefit_rr_0.075,mid,0.0135506025323005,0.0135562622732347,-3.2455313324283863e-06
dro_auc_min,gender_concept_name,overall,net_benefit_rr_0.075,upper,0.0138044788160648,0.0138179837832629,8.515563847611634e-05
dro_auc_min,gender_concept_name,overall,net_benefit_rr_0.075_max,lower,0.0147086244898721,0.0146713203374786,-0.0001472285212009
dro_auc_min,gender_concept_name,overall,net_benefit_rr_0.075_max,mid,0.0151387428131967,0.0151200274088488,2.6306119460237087e-05
dro_auc_min,gender_concept_name,overall,net_benefit_rr_0.075_max,upper,0.015556717856018,0.0155432199592465,0.0001676912031213
dro_auc_min,gender_concept_name,overall,net_benefit_rr_0.075_min,lower,0.0120598411706646,0.0120498413291322,-0.00014572049264
dro_auc_min,gender_concept_name,overall,net_benefit_rr_0.075_min,mid,0.0123399426253898,0.0123707333520672,-2.687139631322999e-05
dro_auc_min,gender_concept_name,overall,net_benefit_rr_0.075_min,upper,0.0126325965984639,0.0126804184580321,8.657260420633393e-05
dro_auc_min,gender_concept_name,overall,net_benefit_rr_0.075_var,lower,2.6613772532949746e-06,2.4744795140559323e-06,-4.250452537886253e-07
dro_auc_min,gender_concept_name,overall,net_benefit_rr_0.075_var,mid,3.899830031876596e-06,3.7841588154927063e-06,1.456375610677863e-07
dro_auc_min,gender_concept_name,overall,net_benefit_rr_0.075_var,upper,5.395117295110607e-06,5.307827064777236e-06,6.280030345374468e-07
dro_auc_min,gender_concept_name,overall,net_benefit_rr_0.2,lower,0.0036006181505505,0.0034461343459402,-4.960268721306696e-06
dro_auc_min,gender_concept_name,overall,net_benefit_rr_0.2,mid,0.0038367282629654,0.003711490610829,0.0001224212601072
dro_auc_min,gender_concept_name,overall,net_benefit_rr_0.2,upper,0.0040528668571505,0.0039790147094195,0.0002541605202789
dro_auc_min,gender_concept_name,overall,net_benefit_rr_0.2_max,lower,0.0039173557581817,0.0038752347410764,-0.0002160231757691
dro_auc_min,gender_concept_name,overall,net_benefit_rr_0.2_max,mid,0.0043468763176338,0.0043621172879004,-2.140610268520915e-05
dro_auc_min,gender_concept_name,overall,net_benefit_rr_0.2_max,upper,0.0047108296369121,0.0047998685146753,0.0001796944445078
dro_auc_min,gender_concept_name,overall,net_benefit_rr_0.2_min,lower,0.0032321080487488,0.0029578584743433,5.580790132651073e-05
dro_auc_min,gender_concept_name,overall,net_benefit_rr_0.2_min,mid,0.0034549735676869,0.0032178486600039,0.0002310053239715
dro_auc_min,gender_concept_name,overall,net_benefit_rr_0.2_min,upper,0.0036769766797601,0.0035106960730171,0.0004211081615593
